Application_ID,Gender,Age,Education,Marital_Status,Employment_Type,Monthly_Income,Loan_Amount,Loan_Term,Credit_Score,Existing_Debt,Approval_Status,Application_Date
APP100028,,85.0,GRADUATE,MARRIED,Salaried,171608,2250949,36.0,537.0,484602.0,Rejected,
APP100029,FEMALE,64.0,GRADUATE,MARRIED,SELF EMPLOYED,164786,511291,72.0,447.0,306578.0,Approved,2020-02-26
APP100030,FEMALE,67.0,not graduate,SINGLE,Salaried,16453,1337668,60.0,696.0,611125.0,Approved,2024-04-01
APP100031,Female,29.0,GRADUATE,SINGLE,Self-Employed,29205,1183767,72.0,769.0,871969.0,Approved,2024-04-28
APP100032,male,30.0,graduate,Single,Salaried,78222,1835614,72.0,521.0,898842.0,Approved,2021-04-21
APP100033,male,26.0,Not Graduate,MARRIED,SELF EMPLOYED,192798,1630810,36.0,408.0,696355.0,Approved,2018-06-13
APP100034,female,76.0,Graduate,Single,SELF EMPLOYED,61682,2871722,72.0,367.0,161847.0,Rejected,2023-07-06
APP100035,female,62.0,GRADUATE,married,Salaried,63370,216200,12.0,794.0,452275.0,Approved,2023-06-20
APP100036,female,87.0,Graduate,MARRIED,self-employed,,565137,36.0,484.0,445442.0,Approved,2020-07-18
APP100037,FEMALE,60.0,not graduate,married,Salaried,34.7k,2685954,48.0,655.0,408132.0,Approved,2024-12-02
APP100038,male,-5.0,Graduate,married,SELF EMPLOYED,68625,75300,48.0,633.0,553735.0,Rejected,2018-11-13
APP100039,male,40.0,graduate,MARRIED,self-employed,55778,417953,24.0,517.0,255896.0,Rejected,2018-08-01
APP100040,Male,62.0,graduate,Single,SELF EMPLOYED,123816,1692685,72.0,498.0,622904.0,Approved,2021-04-18
APP100041,FEMALE,40.0,not graduate,SINGLE,self-employed,117611,2194263,48.0,374.0,544309.0,Approved,2024-09-17
APP100042,MALE,51.0,graduate,Single,Salaried,124749,372707,60.0,302.0,702893.0,Approved,2021-04-25
APP100043,FEMALE,33.0,Not Graduate,SINGLE,SALARIED,157996,1584582,12.0,637.0,35079.0,Rejected,2022-04-28
APP100044,MALE,80.0,graduate,Married,Self-Employed,133651,1874968,12.0,693.0,654333.0,Approved,2022-06-21
APP100045,Male,68.0,GRADUATE,SINGLE,self-employed,14969,2191469,72.0,675.0,538829.0,Rejected,2020-01-10
APP100046,Female,49.0,graduate,MARRIED,SELF EMPLOYED,162026,2162953,24.0,351.0,734037.0,Approved,2024-03-19
APP100047,male,55.0,Not Graduate,SINGLE,SELF EMPLOYED,8182,650882,24.0,845.0,13977.0,Rejected,2019-02-06
APP100048,Male,73.0,not graduate,Married,SALARIED,156.6k,2846325,12.0,448.0,661902.0,Rejected,2024-04-06
APP100049,male,86.0,graduate,SINGLE,SELF EMPLOYED,62.2k,2440266,72.0,443.0,552546.0,Approved,2022-01-27
APP100050,female,34.0,Not Graduate,Single,SELF EMPLOYED,103449,2808870,24.0,583.0,154734.0,Rejected,2018-11-27
APP100051,Female,56.0,GRADUATE,SINGLE,SELF EMPLOYED,128903,"293,207",36.0,840.0,642920.0,Approved,2021-06-18
APP100052,,58.0,Graduate,MARRIED,self-employed,129578,2158535,60.0,464.0,123951.0,Rejected,2024-08-10
APP100053,Male,,,MARRIED,self-employed,90482,2164496,36.0,809.0,480230.0,Rejected,2023-11-12
APP100054,Female,45.0,not graduate,married,Self-Employed,14498,986581,48.0,753.0,374841.0,Approved,2022-06-03
APP100055,MALE,67.0,not graduate,Single,SALARIED,61170,1469435,48.0,870.0,459357.0,Approved,2020-09-21
APP100056,Female,18.0,Graduate,Single,Salaried,168383,1745872,36.0,838.0,144184.0,Rejected,2022-12-26
APP100057,male,67.0,Graduate,SINGLE,SALARIED,133698,1864060,,639.0,427951.0,Approved,2018-12-25
APP100058,male,36.0,not graduate,,Self-Employed,105956,1344219,60.0,321.0,749931.0,Approved,2023-08-17
APP100059,male,76.0,Graduate,MARRIED,self-employed,34603,697245,24.0,685.0,316157.0,,
APP100060,male,85.0,graduate,married,self-employed,17235,2045139,12.0,427.0,974474.0,Rejected,2018-11-22
APP100061,MALE,84.0,Not Graduate,Married,SALARIED,"196,601",1328430,36.0,426.0,933149.0,Rejected,2019-03-07
APP100062,FEMALE,58.0,not graduate,SINGLE,Salaried,,2734952,48.0,578.0,889757.0,Approved,2020-09-24
APP100063,female,27.0,Not Graduate,Single,self-employed,171602,741545 rs,48.0,486.0,607299.0,Approved,2019-10-17
APP100064,Male,45.0,GRADUATE,SINGLE,self-employed,124940,1255457,72.0,495.0,703958.0,Approved,2020-05-11
APP100065,male,51.0,GRADUATE,married,SALARIED,87.2k,2453811,36.0,763.0,426581.0,Approved,2019-02-19
APP100066,Female,56.0,graduate,Single,SALARIED,140515,1107573,48.0,576.0,577409.0,Approved,2018-02-11
APP100067,male,,GRADUATE,married,Salaried,112891,452538,72.0,452.0,,Rejected,2024-09-21
APP100068,,69.0,not graduate,Single,Salaried,89652,1957511,36.0,540.0,105029.0,Approved,2022-06-20
APP100069,female,20.0,graduate,SINGLE,SALARIED,152918,457809,48.0,427.0,278423.0,Approved,2020-05-01
APP100070,female,40.0,graduate,married,Salaried,114451,1400155,12.0,851.0,662012.0,Approved,2018-04-23
APP100071,female,34.0,not graduate,MARRIED,Self-Employed,167487,244288,24.0,894.0,744177.0,Approved,2022-03-17
APP100072,Female,88.0,Graduate,Single,SALARIED,143581,2338889,60.0,,998076.0,Rejected,2019-05-02
APP100073,male,43.0,Not Graduate,married,SELF EMPLOYED,119863,155066,48.0,321.0,902367.0,Rejected,2024-02-22
APP100074,female,35.0,not graduate,married,Salaried,54588,1825600,12.0,785.0,267874.0,Rejected,2023-03-30
APP100075,MALE,63.0,Graduate,Married,SALARIED,96189,766660,36.0,801.0,756880.0,Rejected,2020-12-22
APP100076,Female,,Graduate,Married,SELF EMPLOYED,120082,1426169,48.0,820.0,,Approved,2023-01-19
APP100077,Female,48.0,GRADUATE,SINGLE,Self-Employed,76314,1145550,60.0,,600047.0,Approved,2022-06-10
APP100078,male,26.0,graduate,MARRIED,Self-Employed,40108,"2,678,408",60.0,690.0,437159.0,Rejected,2022-06-07
APP100079,Female,52.0,graduate,MARRIED,self-employed,"159,154",737812,48.0,417.0,396864.0,Rejected,2019-04-08
APP100080,Female,77.0,GRADUATE,married,SELF EMPLOYED,179073,1995715,36.0,882.0,12942.0,Approved,2022-12-31
APP100081,female,80.0,GRADUATE,married,SELF EMPLOYED,73383,2578174,48.0,755.0,965043.0,Approved,2023-02-03
APP100082,male,69.0,graduate,married,SELF EMPLOYED,96403,"2,278,548",36.0,658.0,176136.0,Rejected,2018-06-03
APP100083,female,65.0,not graduate,Single,Self-Employed,84907,1492644,36.0,795.0,89143.0,Approved,2018-10-05
APP100084,female,78.0,not graduate,SINGLE,,127.5k,811076,48.0,811.0,93658.0,Approved,2024-07-15
APP100085,male,41.0,not graduate,SINGLE,Self-Employed,30095,654865,36.0,559.0,360226.0,Approved,2024-03-15
APP100086,Male,-5.0,not graduate,Married,SALARIED,84288,2905078,,857.0,420278.0,Approved,2019-08-07
APP100087,female,75.0,GRADUATE,married,SELF EMPLOYED,53313,"792,071",36.0,579.0,304379.0,Rejected,2023-09-15
APP100088,MALE,,Not Graduate,married,,175876,455162,12.0,357.0,587432.0,Rejected,2024-12-20
APP100089,MALE,47.0,Not Graduate,Single,self-employed,31586,736110,36.0,567.0,705830.0,Rejected,2020-10-20
APP100090,Female,46.0,graduate,married,self-employed,26505,2466004,24.0,740.0,380743.0,Rejected,2023-02-06
APP100091,MALE,27.0,Not Graduate,married,SELF EMPLOYED,55113,539729,24.0,870.0,697438.0,Approved,2020-07-22
APP100092,Female,56.0,not graduate,,Self-Employed,131417,761223,60.0,304.0,390574.0,,2024-01-20
APP100093,Male,72.0,,married,self-employed,68110,1630806 rs,72.0,396.0,672517.0,Approved,2019-04-19
APP100094,male,45.0,not graduate,Single,SELF EMPLOYED,180528,"2,532,215",24.0,788.0,,Rejected,2019-05-12
APP100095,male,35.0,Graduate,Single,SALARIED,"156,838",1230190,48.0,354.0,,Rejected,2018-03-20
APP100096,male,58.0,GRADUATE,MARRIED,self-employed,139430,2883334,72.0,472.0,420353.0,Rejected,2021-09-20
APP100097,MALE,82.0,Graduate,MARRIED,,54286,1708308,48.0,640.0,172177.0,Rejected,2024-10-30
APP100098,Male,63.0,Graduate,Married,SALARIED,110061,2292719,36.0,788.0,352200.0,Rejected,2021-08-16
APP100099,MALE,77.0,graduate,Single,SELF EMPLOYED,102052,2116460,24.0,807.0,740013.0,Approved,2023-11-03
APP100100,MALE,26.0,Graduate,Single,self-employed,137713,573965,48.0,499.0,596619.0,Approved,2023-03-25
APP100101,Male,62.0,Not Graduate,SINGLE,self-employed,,1036902,72.0,681.0,248973.0,Rejected,2021-11-11
APP100102,Male,77.0,Not Graduate,MARRIED,Self-Employed,,2141621,,569.0,397557.0,Approved,2020-09-22
APP100103,Male,45.0,Graduate,Married,SELF EMPLOYED,70723,1722903,72.0,431.0,699744.0,Approved,2024-06-29
APP100104,Male,20.0,graduate,SINGLE,Salaried,139680,2917679,24.0,335.0,947784.0,Approved,2019-11-20
APP100105,male,68.0,Graduate,SINGLE,SELF EMPLOYED,96486,1470904,60.0,332.0,508755.0,Rejected,2020-01-26
APP100106,FEMALE,25.0,GRADUATE,MARRIED,self-employed,65674,1816777,48.0,361.0,545205.0,Approved,2019-07-15
APP100107,FEMALE,87.0,GRADUATE,SINGLE,self-employed,159082,1263948,36.0,443.0,244491.0,Rejected,2024-04-28
APP100108,Male,76.0,GRADUATE,MARRIED,Salaried,166919,2210870,48.0,511.0,817153.0,Approved,2018-06-16
APP100109,FEMALE,78.0,GRADUATE,Single,SALARIED,14108,532523,60.0,573.0,779312.0,Approved,2023-11-23
APP100110,FEMALE,75.0,Graduate,Single,SELF EMPLOYED,"193,441",,36.0,468.0,209183.0,Approved,2020-03-04
APP100111,Male,87.0,,MARRIED,SELF EMPLOYED,49940,845175,36.0,319.0,155550.0,Rejected,2018-11-09
APP100112,FEMALE,29.0,not graduate,married,,84914,211157,24.0,508.0,307796.0,Rejected,2019-12-01
APP100113,,26.0,GRADUATE,married,Self-Employed,37713,"1,973,748",48.0,596.0,618818.0,Approved,2022-09-06
APP100114,Female,66.0,graduate,Married,Salaried,168989,2896480,12.0,679.0,325640.0,Rejected,2023-01-11
APP100115,Female,34.0,graduate,married,SALARIED,171245,"2,907,394",12.0,520.0,656519.0,Rejected,2023-06-01
APP100116,Male,71.0,Graduate,Married,SELF EMPLOYED,157681,1109725,12.0,763.0,343341.0,Rejected,2023-11-16
APP100117,male,61.0,not graduate,MARRIED,SALARIED,79568,1143511,24.0,402.0,802753.0,Approved,2021-12-09
APP100118,Male,49.0,Graduate,MARRIED,SALARIED,113946,720058,12.0,623.0,246071.0,Rejected,2024-03-05
,male,52.0,Not Graduate,MARRIED,SALARIED,47074,1398167,72.0,334.0,292234.0,Rejected,2021-07-23
APP100120,Female,66.0,GRADUATE,Married,self-employed,42680,2679297,12.0,560.0,314802.0,Rejected,2018-06-16
APP100121,Male,71.0,Not Graduate,SINGLE,SELF EMPLOYED,,2248176,36.0,443.0,783835.0,Approved,2018-12-29
APP100122,female,33.0,Not Graduate,Married,SELF EMPLOYED,130672,384254,36.0,711.0,69704.0,Approved,2020-06-17
APP100123,MALE,29.0,graduate,SINGLE,,121063,1397347,72.0,525.0,440458.0,Approved,2021-12-31
APP100124,FEMALE,25.0,not graduate,Single,Salaried,117.2k,1037055,12.0,671.0,15133.0,Rejected,2019-05-30
APP100125,male,38.0,GRADUATE,Single,Self-Employed,132962,767455,24.0,514.0,315870.0,Approved,2023-01-12
APP100126,female,65.0,Graduate,SINGLE,Self-Employed,55271,150790,72.0,491.0,334713.0,Rejected,2022-12-21
APP100127,FEMALE,25.0,GRADUATE,SINGLE,Self-Employed,100858,820284,60.0,875.0,646164.0,Rejected,2023-04-16
APP100128,FEMALE,45.0,Graduate,married,Self-Employed,100035,2235474,24.0,466.0,397098.0,Approved,2021-11-12
APP100129,Male,27.0,Graduate,SINGLE,self-employed,78824,1390952,60.0,472.0,391559.0,Approved,2021-10-08
APP100130,FEMALE,69.0,not graduate,SINGLE,Salaried,"55,098",126196,36.0,352.0,945141.0,Rejected,2020-06-18
APP100131,MALE,32.0,Not Graduate,MARRIED,Salaried,169412,2272209,12.0,892.0,243369.0,Approved,2020-04-12
APP100132,female,21.0,Graduate,Married,self-employed,115584,1780923,48.0,380.0,9901.0,Rejected,2023-11-27
APP100133,FEMALE,79.0,not graduate,SINGLE,SELF EMPLOYED,170718,943253,60.0,423.0,811871.0,Approved,2018-02-01
APP100134,Male,21.0,Not Graduate,MARRIED,self-employed,156027,1593358,72.0,325.0,22184.0,Approved,2023-11-21
APP100135,MALE,58.0,Not Graduate,SINGLE,Self-Employed,91626,1457327,12.0,739.0,615182.0,Rejected,2020-08-27
APP100136,Female,150.0,GRADUATE,married,Salaried,158536,"2,771,082",,841.0,,Rejected,2022-12-11
APP100137,,72.0,GRADUATE,SINGLE,self-employed,60058,2355462,36.0,483.0,977254.0,Approved,2018-01-03
APP100138,FEMALE,45.0,GRADUATE,SINGLE,Self-Employed,139983,158127,12.0,610.0,101770.0,Rejected,2021-02-24
APP100139,Male,64.0,graduate,MARRIED,Self-Employed,143621,170479,72.0,847.0,171641.0,,2024-09-03
APP100140,Female,26.0,Not Graduate,SINGLE,SALARIED,9016,2940127,12.0,824.0,452644.0,Approved,2023-04-18
APP100141,Female,19.0,graduate,MARRIED,SELF EMPLOYED,72343,2465332,48.0,725.0,548690.0,Approved,2021-05-21
APP100142,male,84.0,GRADUATE,Married,SELF EMPLOYED,,1506597,60.0,888.0,92958.0,Approved,2021-03-07
APP100143,MALE,65.0,not graduate,MARRIED,SELF EMPLOYED,68.7k,2661108,12.0,777.0,290628.0,Rejected,2023-02-23
APP100144,FEMALE,86.0,GRADUATE,Married,Salaried,,109912,72.0,608.0,669355.0,Approved,2019-08-30
APP100145,Male,-5.0,Graduate,,Salaried,"169,236",1974920,60.0,429.0,530064.0,Rejected,2022-10-01
APP100146,male,45.0,not graduate,Married,Salaried,26399,845972,60.0,794.0,880023.0,Approved,2019-04-06
APP100147,MALE,31.0,not graduate,Single,Salaried,85516,2765099,24.0,581.0,790214.0,Rejected,2020-02-28
APP100148,male,63.0,Not Graduate,Single,Self-Employed,94693,1671398,48.0,486.0,575615.0,Rejected,2020-08-01
APP100149,female,30.0,graduate,MARRIED,SELF EMPLOYED,170609,2036494,36.0,876.0,828158.0,Approved,2019-04-13
APP100150,MALE,33.0,Graduate,married,Salaried,68919,1863850,72.0,480.0,780258.0,Rejected,2018-11-25
APP100151,MALE,57.0,not graduate,SINGLE,SELF EMPLOYED,60829,,24.0,418.0,899465.0,Rejected,2022-09-18
APP100152,FEMALE,89.0,graduate,Single,Self-Employed,89291,403456,36.0,736.0,471014.0,Approved,2024-01-11
APP100153,MALE,47.0,graduate,married,Salaried,12192,1377632,24.0,814.0,552165.0,Rejected,2019-09-13
APP100154,male,82.0,Graduate,MARRIED,SALARIED,94429,1563591,60.0,522.0,107804.0,Approved,2020-06-28
APP100155,MALE,75.0,Graduate,Married,self-employed,64821,2735893,12.0,545.0,228974.0,Approved,2023-01-14
APP100156,FEMALE,65.0,GRADUATE,SINGLE,Salaried,104984,126865,72.0,732.0,772969.0,Approved,2018-05-17
APP100157,FEMALE,66.0,GRADUATE,Married,Salaried,66.5k,556505,60.0,622.0,685837.0,Rejected,2023-09-07
APP100158,female,19.0,not graduate,SINGLE,SALARIED,134687,1351579,72.0,570.0,52765.0,Rejected,2019-01-03
APP100159,male,31.0,not graduate,Single,Self-Employed,19485,,12.0,396.0,860933.0,Approved,
APP100160,Female,34.0,not graduate,married,self-employed,149.2k,558231,12.0,637.0,891662.0,Rejected,2020-12-08
APP100161,Female,48.0,GRADUATE,MARRIED,Self-Employed,132791,1756119,24.0,874.0,317053.0,Rejected,2019-09-27
APP100162,MALE,27.0,not graduate,SINGLE,SALARIED,176449,2381354,60.0,442.0,274432.0,Rejected,2024-08-25
APP100163,female,87.0,not graduate,Single,Salaried,140553,907440,48.0,813.0,616005.0,,2024-06-04
APP100164,Male,54.0,GRADUATE,MARRIED,self-employed,38278,805059 rs,24.0,378.0,937618.0,Rejected,2024-10-27
APP100165,MALE,81.0,GRADUATE,SINGLE,Self-Employed,"15,418",,36.0,473.0,597973.0,Rejected,2020-01-12
APP100166,female,47.0,not graduate,Single,Salaried,25313,2986564,48.0,488.0,71300.0,Approved,2021-09-08
APP100167,male,51.0,not graduate,MARRIED,SELF EMPLOYED,137870,1369712,24.0,763.0,670012.0,Approved,2019-01-07
APP100168,male,35.0,graduate,Married,SALARIED,64.0k,1561062,36.0,323.0,536096.0,Approved,2024-09-03
APP100169,male,80.0,Not Graduate,married,Self-Employed,21.7k,2989577,36.0,395.0,820975.0,Rejected,2019-02-17
APP100170,male,66.0,GRADUATE,married,SELF EMPLOYED,"151,727",2695329,48.0,560.0,923823.0,Rejected,2024-01-27
APP100171,male,73.0,Not Graduate,Married,Self-Employed,8637,1899457,48.0,355.0,500750.0,Rejected,2019-10-16
APP100172,female,75.0,GRADUATE,married,,132933,274500,24.0,418.0,142068.0,Rejected,2019-07-03
APP100173,female,44.0,graduate,married,SELF EMPLOYED,80729,845760,12.0,353.0,285150.0,Approved,2020-02-28
APP100174,FEMALE,72.0,Not Graduate,SINGLE,SALARIED,108804,1503009,12.0,475.0,690988.0,Rejected,2024-10-14
APP100175,Female,36.0,graduate,Single,SALARIED,94064,1781111,72.0,577.0,348323.0,Rejected,2020-05-27
APP100176,male,40.0,Graduate,Married,SELF EMPLOYED,168073,1657679,72.0,764.0,884815.0,Rejected,2019-12-01
APP100177,Male,64.0,Not Graduate,Single,SALARIED,174484,2277372,60.0,830.0,504762.0,Approved,2024-08-13
,female,83.0,Not Graduate,married,self-employed,110107,1190584,36.0,441.0,703310.0,Approved,2022-11-17
APP100179,Male,68.0,Not Graduate,Single,self-employed,171240,,24.0,566.0,484654.0,Approved,2019-12-07
APP100180,Male,45.0,Graduate,MARRIED,Salaried,153710,1841695,24.0,341.0,286361.0,Rejected,2020-01-04
APP100181,Male,74.0,Graduate,Married,SELF EMPLOYED,33997,1352969,36.0,461.0,653714.0,Rejected,2023-08-26
APP100182,FEMALE,75.0,graduate,Married,,136.8k,463887,36.0,413.0,,Rejected,2021-12-18
APP100183,female,32.0,Graduate,Married,Self-Employed,38521,1439939,72.0,554.0,509503.0,Approved,2022-04-19
APP100184,Male,33.0,GRADUATE,SINGLE,SALARIED,127918,2105732,60.0,,725663.0,Approved,2023-11-04
APP100185,male,64.0,not graduate,,self-employed,182733,1399264,36.0,741.0,756290.0,Approved,2019-07-08
APP100186,MALE,80.0,Not Graduate,Single,self-employed,144395,644890,72.0,566.0,121000.0,Rejected,2020-10-18
APP100187,Male,29.0,graduate,SINGLE,SELF EMPLOYED,126000,1648860,48.0,,45507.0,Rejected,2024-09-26
APP100188,FEMALE,60.0,graduate,Married,Self-Employed,59656,1463114,12.0,558.0,992920.0,Approved,2020-03-23
APP100189,female,46.0,graduate,SINGLE,self-employed,"11,202","1,361,818",60.0,695.0,933651.0,Approved,2021-08-14
APP100190,FEMALE,66.0,graduate,SINGLE,Self-Employed,91927,741984,12.0,340.0,142659.0,Rejected,2020-10-20
APP100191,Male,20.0,Not Graduate,married,SALARIED,21104,1770930,24.0,433.0,848804.0,Approved,2022-09-29
APP100192,female,86.0,graduate,Married,SALARIED,147560,1220343,36.0,822.0,135747.0,Approved,2024-04-04
APP100193,MALE,77.0,Not Graduate,MARRIED,SALARIED,143186,2128031,72.0,693.0,257886.0,Rejected,2023-12-22
APP100194,Male,83.0,graduate,married,Salaried,66742,1227043,36.0,393.0,699137.0,Rejected,2021-08-10
APP100195,FEMALE,43.0,graduate,Married,SELF EMPLOYED,157.0k,2811778,12.0,858.0,916665.0,Approved,2019-02-18
APP100196,Female,88.0,not graduate,Married,SALARIED,197211,101818,60.0,751.0,567247.0,Rejected,2024-11-24
APP100197,male,-5.0,GRADUATE,Married,Salaried,106985,1094406,72.0,577.0,805884.0,Rejected,2023-05-18
APP100198,FEMALE,86.0,Graduate,Single,Salaried,195840,479782,48.0,539.0,136135.0,Approved,
,female,64.0,Graduate,Married,SELF EMPLOYED,120386,399479,24.0,706.0,376586.0,Rejected,2021-04-16
APP100200,Male,59.0,Graduate,Married,SALARIED,28054,2804950 rs,72.0,332.0,641190.0,Approved,2024-03-11
APP100201,male,48.0,GRADUATE,MARRIED,SELF EMPLOYED,37517,455202,,691.0,174887.0,Rejected,2022-09-12
APP100202,Male,,Not Graduate,Married,SELF EMPLOYED,43483,178801,12.0,542.0,299999.0,Rejected,
APP100203,female,34.0,Graduate,SINGLE,self-employed,146665,383219,48.0,379.0,509780.0,Rejected,2024-10-24
APP100204,Male,37.0,Graduate,Married,SELF EMPLOYED,69908,2193377,12.0,543.0,350403.0,Approved,2019-01-29
APP100205,Female,25.0,Graduate,Married,Salaried,41657,985534,36.0,417.0,5115.0,Approved,2023-09-02
APP100206,male,66.0,Not Graduate,Married,SALARIED,193218,1545273,60.0,375.0,335183.0,Approved,2024-11-16
,male,55.0,GRADUATE,Single,SELF EMPLOYED,152955,2720750,24.0,669.0,112916.0,Approved,2024-12-29
APP100208,female,70.0,GRADUATE,married,Salaried,31405,1048284,48.0,426.0,822135.0,Rejected,2018-06-28
APP100209,Female,45.0,Not Graduate,Single,SALARIED,29810,1968565,60.0,791.0,488908.0,Approved,2021-07-21
APP100210,FEMALE,46.0,not graduate,,Self-Employed,152.6k,2250508,72.0,365.0,848969.0,Approved,2023-12-01
APP100211,Male,89.0,graduate,MARRIED,Salaried,17362,2276917,36.0,763.0,860285.0,Approved,2023-08-08
APP100212,MALE,28.0,Not Graduate,SINGLE,Self-Employed,42646,586470,36.0,586.0,836922.0,Rejected,2018-03-28
APP100213,Male,64.0,,SINGLE,Self-Employed,69574,364152 rs,72.0,456.0,927821.0,Approved,
APP100214,Male,62.0,GRADUATE,MARRIED,self-employed,16059,843386,60.0,578.0,759108.0,Rejected,2023-06-08
APP100215,FEMALE,35.0,graduate,married,Self-Employed,113792,616422,72.0,372.0,15710.0,Rejected,2019-08-05
APP100216,Male,67.0,Graduate,married,Salaried,30710,1081050,60.0,376.0,178936.0,Approved,2022-11-02
APP100217,Female,66.0,graduate,MARRIED,SELF EMPLOYED,146259,1750602,12.0,847.0,422925.0,Approved,2024-10-28
APP100218,Female,39.0,graduate,Married,SALARIED,183961,,60.0,605.0,788084.0,Approved,2024-09-12
APP100219,male,62.0,GRADUATE,Single,self-employed,88771,1685293,72.0,543.0,652273.0,Rejected,2018-03-04
APP100220,female,78.0,not graduate,Single,SALARIED,90468,508734,72.0,707.0,4010.0,Rejected,2021-03-10
APP100221,MALE,38.0,graduate,Married,Salaried,38.6k,1506503,72.0,847.0,694015.0,Approved,2018-09-12
APP100222,Male,88.0,GRADUATE,married,,63633,2990270,48.0,437.0,596754.0,Approved,
APP100223,Male,78.0,Graduate,Single,Self-Employed,136720,701355,24.0,348.0,588145.0,Approved,2023-09-06
APP100224,FEMALE,53.0,graduate,Single,Self-Employed,143445,846015,72.0,688.0,805174.0,Rejected,2021-02-14
APP100225,female,41.0,graduate,SINGLE,Salaried,61035,2714314,72.0,,139517.0,,2019-02-28
APP100226,Female,49.0,Graduate,married,Salaried,46251,1668150,12.0,733.0,951452.0,Approved,2020-10-10
APP100227,MALE,76.0,Not Graduate,MARRIED,SALARIED,194750,2452094,48.0,602.0,555498.0,Approved,
APP100228,male,22.0,not graduate,MARRIED,SALARIED,71036,345064,60.0,820.0,354291.0,Approved,2024-03-04
APP100229,Female,33.0,Graduate,Married,SALARIED,107174,169775,36.0,390.0,348943.0,Approved,2023-08-28
APP100230,female,28.0,Graduate,Single,Self-Employed,23998,1387327,60.0,558.0,257627.0,,2024-03-21
APP100231,male,52.0,,MARRIED,Salaried,22057,2764124,48.0,563.0,712319.0,Rejected,2019-12-02
APP100232,FEMALE,59.0,Not Graduate,Married,self-employed,157037,2476554,24.0,485.0,93605.0,Rejected,2022-02-06
APP100233,FEMALE,27.0,Graduate,SINGLE,Self-Employed,8281,1893129 rs,24.0,319.0,337112.0,Rejected,2020-01-07
